resume_seq,recruitment_seq
U05833,R03838
U06456,R02144
U07807,R01877
U04842,R02463
U08336,R00112
U03753,R05448
U01045,R03428
U00825,R04768
U07438,R02907
U01917,R01028
U00357,R02349
U05806,R02682
U05450,R03782
U06130,R05490
U01346,R00828
U00385,R00560
U05824,R04845
U06246,R04001
U00948,R00480
U06687,R06278
U04199,R04451
U07934,R05481
U04227,R01724
U06206,R05744
U01224,R02095
U06389,R01591
U07292,R00204
U00671,R02669
U03148,R01627
U08015,R01487
U00310,R00736
U04319,R00454
U06367,R03503
U07627,R00122
U06206,R01142
U05776,R00975
U02907,R02245
U05153,R03227
U01456,R02517
U05780,R00765
U01128,R00237
U08050,R00149
U07467,R03820
U03000,R03621
U02220,R05972
U00073,R03940
U03806,R01678
U03858,R02622
U07038,R02969
U00038,R00712
U00725,R04616
U00776,R02836
U05438,R00438
U02164,R03011
U06477,R06073
U06548,R04448
U02225,R01642
U01790,R04622
U07653,R04773
U02624,R06192
U04972,R01535
U07469,R05077
U01432,R04123
U03564,R05168
U01944,R06304
U06463,R04388
U06173,R05585
U04073,R05392
U04661,R06443
U05239,R00351
U01558,R02729
U03586,R05413
U03001,R03865
U06062,R06190
U01470,R01611
U07565,R05786
U01989,R05882
U00722,R02364
U07708,R01160
U07127,R04753
U03326,R00805
U01734,R02536
U03906,R06160
U07759,R01348
U06842,R00259
U08188,R05751
U01018,R05688
U06553,R00662
U01052,R03852
U07824,R03993
U08471,R05378
U00970,R04760
U05941,R04263
U00528,R03679
U03742,R01679
U04347,R04158
U07587,R03005
U02835,R04602
U04187,R02491
U00866,R06651
U00119,R02092
U02445,R01074
U02065,R04382
U00474,R01973
U02096,R01795
U07326,R00524
U03403,R02071
U06826,R06409
U01970,R05678
U00633,R01373
U08413,R01682
U06018,R04421
U00054,R00049
U07457,R04581
U00976,R00734
U04859,R00266
U00048,R01923
U06246,R05079
U06138,R06313
U07023,R06282
U08274,R04008
U00501,R04679
U07429,R05751
U00267,R02330
U05133,R03678
U00623,R05518
U05105,R01243
U02705,R00226
U03772,R04665
U03411,R06227
U07907,R01598
U07402,R06337
U01321,R02214
U04424,R04408
U04666,R00842
U07368,R05362
U05138,R03190
U05562,R01420
U05041,R01658
U07003,R05891
U05987,R03162
U02304,R01113
U06052,R01050
U00742,R03528
U04513,R04548
U03213,R02650
U07039,R05349
U06715,R05468
U01957,R01837
U02027,R00029
U04109,R06427
U00253,R06124
U04167,R05072
U08077,R04341
U07675,R06376
U03940,R01972
U06983,R04828
U06992,R03943
U01141,R03196
U06951,R05919
U04491,R05864
U00867,R06644
U01778,R04947
U06764,R04458
U05418,R03747
U00882,R01452
U04569,R03297
U07827,R02908
U03515,R03914
U05487,R05974
U00044,R05014
U06919,R04894
U08200,R04382
U02784,R05154
U05799,R05306
U03939,R03992
U03272,R05715
U01728,R01462
U05466,R04829
U08004,R01961
U07348,R01424
U03570,R04815
U05649,R00057
U01879,R03077
U00291,R05719
U01708,R00732
U06889,R03426
U07811,R04618
U00787,R03396
U06505,R05371
U06101,R04327
U06921,R00519
U06559,R00370
U05537,R05043
U00893,R06604
U03883,R01451
U05188,R05266
U03311,R03841
U00322,R01150
U06657,R03592
U04727,R02679
U05704,R05976
U07789,R03010
U00443,R01534
U07163,R03939
U00262,R04665
U05537,R00168
U07947,R06294
U01216,R01873
U04624,R00627
U00092,R04967
U05801,R04216
U02916,R05995
U04366,R02269
U07740,R01101
U07780,R05414
U03264,R05415
U04488,R01561
U02769,R03798
U01082,R06686
U07817,R03870
U07123,R04537
U02613,R04169
U03413,R06313
U05597,R02434
U01446,R03431
U04394,R02272
U00038,R05411
U04408,R05083
U02960,R05079
U08153,R04385
U04323,R01258
U07598,R01153
U05549,R02310
U01802,R04322
U06322,R01509
U04897,R06503
U05287,R00608
U00761,R05251
U08188,R01625
U00896,R02933
U06101,R03175
U02035,R00812
U06771,R00018
U07171,R04921
U01269,R03479
U08389,R03792
U01095,R02513
U02836,R03797
U04589,R01677
U07264,R01202
U06936,R03167
U03590,R01042
U05973,R00162
U01054,R03892
U07176,R05469
U04635,R03626
U01607,R03772
U07227,R02548
U06384,R03938
U01293,R06304
U05629,R00191
U06434,R01695
U07405,R01848
U06038,R05266
U00925,R02456
U03742,R01115
U08271,R02888
U01180,R04274
U01838,R05735
U05534,R04376
U02625,R05149
U03220,R04573
U02429,R04941
U00501,R04041
U07124,R03190
U02151,R05634
U05444,R05890
U02475,R03926
U06267,R05639
U00712,R05778
U02882,R00429
U02782,R01048
U02670,R00884
U03125,R00129
U00390,R06060
U02352,R05561
U05161,R00836
U00518,R02735
U00536,R04943
U02269,R01302
U01716,R00821
U07849,R00056
U04667,R00671
U01504,R06383
U02622,R02282
U00629,R02293
U02456,R05902
U01077,R04508
U03013,R02277
U06252,R06072
U00131,R01418
U01477,R00710
U00241,R03207
U08368,R01951
U03593,R04553
U00203,R02141
U00125,R00410
U05262,R03647
U05299,R03039
U06678,R05903
U01806,R00596
U03052,R01019
U03413,R05629
U02515,R00166
U02510,R03959
U05886,R01925
U05391,R06250
U03392,R01348
U06379,R04107
U06876,R02537
U02782,R05136
U00884,R06301
U03388,R04659
U06627,R03593
U00883,R03218
U01919,R00759
U06543,R03590
U02232,R03799
U02563,R02916
U00666,R00500
U07793,R06340
U06973,R00172
U04987,R04763
U00130,R05732
U02944,R01669
U07044,R04522
U07896,R03237
U01752,R03391
U03448,R03182
U03216,R01724
U02202,R03040
U00001,R05288
U07955,R02662
U07636,R05560
U02581,R02941
U04595,R00576
U07098,R01411
U06711,R01774
U04092,R00595
U03256,R00110
U00082,R05087
U03597,R06666
U06215,R03366
U01497,R00224
U04695,R04744
U05432,R06617
U05276,R02021
U06389,R04066
U04236,R06380
U03421,R03344
U08156,R05639
U05307,R00573
U06415,R03763
U05093,R01764
U02017,R00140
U00474,R04302
U02486,R03117
U01796,R00585
U04071,R03937
U02703,R05346
U08068,R05413
U02882,R02795
U00976,R04832
U02585,R02670
U03397,R04976
U01076,R01535
U00410,R00753
U05951,R03669
U05550,R03730
U07018,R00732
U02227,R03744
U03929,R03925
U07779,R05112
U01548,R02560
U08058,R02043
U05043,R02558
U04903,R01186
U07793,R03488
U06715,R02729
U00581,R03986
U07495,R02383
U02787,R02965
U06223,R04707
U05480,R03940
U07416,R05823
U04807,R06356
U02717,R02033
U07657,R03195
U00121,R02258
U02939,R04458
U08048,R02163
U05665,R00766
U07251,R02756
U08299,R04438
U05975,R03125
U06104,R01717
U06034,R02019
U06474,R03915
U07185,R06253
U02721,R00634
U01693,R03396
U04961,R06473
U01667,R01192
U06446,R02624
U05196,R03615
U01180,R03948
U06058,R05366
U02749,R00898
U02230,R00151
U07563,R00930
U04761,R03996
U06180,R02735
U03147,R02863
U00680,R04086
U06206,R01509
U01412,R06327
U07952,R02601
U01568,R06021
U02009,R05034
U00123,R05400
U06083,R00434
U03228,R06182
U01708,R06326
U03672,R02870
U03396,R00509
U06379,R02179
U07426,R00277
U00002,R06019
U01465,R01383
U01094,R00081
U05711,R06221
U05260,R04754
U03310,R01739
U06853,R00481
U08095,R01081
U07946,R03138
U07555,R04959
U04534,R04780
U07290,R01502
U00565,R01837
U00030,R00755
U06747,R05659
U07201,R02136
U01385,R06420
U03497,R00112
U06859,R05182
U06911,R01904
U03420,R02675
U06731,R01733
U00050,R00288
U00459,R01804
U06742,R04452
U00815,R04689
U07566,R04837
U02774,R02346
U01407,R00923
U03230,R04648
U01160,R04369
U01163,R02826
U06750,R02469
U07374,R00458
U04664,R04801
U00893,R05708
U06203,R03087
U07597,R03237
U02262,R00712
U00056,R02466
U00883,R01375
U00085,R04710
U05114,R01676
U06618,R01605
U00503,R06396
U00429,R00492
U00385,R03331
U02603,R01624
U04651,R00906
U07524,R00548
U03303,R01093
U02065,R00656
U01377,R03355
U07789,R03463
U05909,R03738
U02316,R06225
U07394,R00171
U06159,R06619
U07789,R00320
U07458,R00721
U02164,R03998
U03280,R05732
U01573,R00622
U05674,R00745
U01675,R04882
U05357,R04856
U05300,R06192
U01205,R02202
U01237,R04019
U00185,R05103
U04654,R02225
U08368,R06475
U01701,R03619
U03969,R03342
U07536,R00804
U01922,R04451
U04625,R01922
U05230,R04571
U06863,R05702
U00739,R05858
U00624,R03932
U04821,R01970
U00038,R06337
U03848,R03959
U06542,R05956
U06481,R00962
U01374,R03579
U07581,R03666
U01152,R06572
U02633,R03277
U01467,R01524
U06852,R06069
U00524,R02456
U01550,R05996
U02447,R03589
U07945,R06038
U00283,R00317
U07992,R02080
U02636,R05557
U08265,R01323
U03200,R01884
U01028,R01043
U03742,R04592
U03153,R00964
U05275,R02730
U03114,R00522
U04827,R05971
U02282,R03638
U03360,R02635
U01240,R04114
U05147,R01211
U03779,R02913
U06029,R05632
U01072,R04834
U06265,R05313
U00025,R01279
U06163,R02921
U01860,R03435
U05672,R05084
U08438,R00606
U04877,R05904
U01415,R00243
U06522,R04404
U05388,R06562
U02318,R02784
U00720,R04478
U06432,R04538
U04555,R06531
U04535,R06302
U08002,R01283
U07515,R05022
U06750,R02207
U04145,R01041
U05893,R02572
U00908,R05427
U03148,R05434
U01966,R03163
U07015,R01283
U06206,R01277
U06113,R02038
U05997,R02126
U02408,R00718
U01676,R03495
U04090,R01445
U03280,R04066
U06942,R06571
U00613,R06262
U00096,R04900
U01658,R00947
U07038,R00951
U00651,R00930
U08106,R05672
U01292,R00433
U07696,R03030
U07426,R06295
U01804,R03233
U05058,R01366
U01590,R00788
U07408,R06344
U05056,R02650
U01608,R00055
U02447,R05877
U02655,R00628
U05537,R03091
U02371,R05007
U04193,R00420
U07822,R00513
U03093,R06498
