recruitment_seq,company_type_seq,supply_kind,employee
R02073,2,514,20
R03274,2,402,90
R02195,2,514,20
R03372,4,100,60
R00867,2,402,590
R03176,2,100,250
R05700,2,100,250
R06080,2,402,130
R06292,2,402,40
R04003,2,100,200
R00974,5,402,1000
R01170,2,402,500
R04655,5,402,800
R05995,2,514,20
R06541,4,402,525
R00341,2,402,60
R03858,2,402,260
R04196,4,402,150
R00458,2,402,590
R03771,2,402,97
R05792,5,402,300
R01408,2,402,250
R02434,2,100,270
R06460,2,100,250
R03779,2,100,100
R06514,2,402,90
R01378,2,402,20
R05196,2,514,20
R05280,2,402,41
R01223,2,514,20
R02529,5,402,300
R00368,2,402,41
R04155,2,100,100
R01363,2,402,45
R04843,2,402,310
R05212,4,402,120
R03495,2,402,90
R05048,2,100,100
R02416,2,402,500
R06238,2,402,250
R03808,2,402,310
R05130,2,402,40
R05613,4,402,525
R04154,2,402,90
R05968,2,402,500
R05729,5,402,300
R00060,2,402,310
R02677,2,402,310
R06330,2,100,180
R02524,2,201,60
R05803,2,402,0
R04084,2,402,41
R03168,2,402,260
R03248,2,402,90
R06595,9,402,20
R05941,2,514,20
R02421,5,402,800
R01643,2,100,100
R00298,4,402,150
R05612,2,100,200
R00409,4,402,70
R05854,9,515,9
R06055,9,402,20
R03439,4,402,150
R00444,2,100,270
R02911,2,100,145
R04328,4,402,150
R03393,4,402,525
R05070,2,201,60
R02279,2,402,60
R05240,2,402,590
R02662,2,402,590
R05921,2,402,35
R03761,2,402,310
R04451,2,402,41
R03572,2,100,200
R00132,9,402,20
R02939,9,508,28
R01958,2,402,500
R05838,2,402,41
R06362,2,402,90
R01916,2,100,250
R02927,2,402,590
R03137,4,402,525
R01665,2,402,590
R04137,2,402,310
R01172,2,402,250
R06469,5,402,300
R03505,2,514,20
R03615,4,402,525
R02298,5,402,300
R02752,4,402,150
R04126,7,402,100
R04901,2,402,310
R05577,2,201,60
R06035,2,402,41
R00359,5,402,300
R01090,2,402,500
R01887,2,402,310
R03797,2,100,100
R02376,4,402,70
R05785,2,402,590
R04053,9,508,17
R04936,2,402,130
R06029,2,402,6
R01647,2,402,590
R05647,2,402,41
R06023,2,514,20
R03508,9,508,40
R02436,2,402,10
R02293,2,201,60
R06071,4,402,150
