recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,check_box_keyword,education,major_task,qualifications,text_keyword
R02264,3.0,,,0,0,2507;2707;2810,4,8,1,
R06317,3.0,,,0,0,2204;2205;2707,3,2,1,
R04017,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R02865,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R04890,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R05446,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R05023,3.0,,,0,0,2501;2507;2707;2810,2,2,1,
R04999,20.0,,,0,0,2203;2204;2707;2108;2507,4,2,1,
R02396,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205,3,2,2,해외영업;의류;품질관리;상품기획;머천다이저;자재관리;포토샵;생산관리;자재구매;여성복;일러스트레이터;구매관리;일반영업
R04458,3.0,,,0,0,2101;2109;2201;2203;2204;2205;2302;2501,3,2,2,
R04619,3.0,,,0,0,2101;2108;2201;2707,4,8,1,
R00635,3.0,,,0,0,2204;2205;2707,4,2,1,
R02484,3.0,,,0,0,2201;2204;2205;2507;2707,4,2,2,
R04125,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R02878,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,2,
R06338,3.0,,,0,0,2507;2707,3,2,1,
R02598,3.0,,,0,0,2507;2707,4,2,2,
R04202,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R02468,3.0,,,0,0,2507;2707;2810,2,2,0,
R06160,3.0,,,0,0,2101;2108;2201;2707,4,2,2,
R03853,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,4,2,1,
R05883,3.0,,,0,0,2201;2204,2,2,1,
R02553,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R04813,3.0,,,0,0,2501;2507,4,2,1,
R05192,3.0,,,0,0,2101;2104;2105;2707;3008;3099,3,2,1,
R03418,3.0,,,0,0,2101;2108;2201;2707,4,7,2,
R01240,3.0,,,0,0,2507;2707,4,2,1,
R00524,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R05976,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,1,
R04444,3.0,,,0,0,2204;2205;2507;2707;2504;2501;2108,3,2,2,
R01049,3.0,,,0,0,2108;2707;2810,4,2,1,
R03532,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2507;2707,4,2,1,
R00248,3.0,,,0,0,2507;2707,2,2,2,
R00140,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R01810,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R00766,3.0,,,0,0,2507;2707,3,2,1,
R01601,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R05929,3.0,,,0,0,2503;2507;2707,3,2,1,
R00448,3.0,,,0,0,2501;2507;2707,3,2,2,
R01988,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R03578,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,2,
R01709,3.0,,,0,0,2101;2108;2201;2204;2205;2507;2703;2707,3,2,2,
R03059,3.0,,,0,0,2101;2108;2201;2204;2205;2507;2707,3,2,1,
R01048,3.0,,,0,0,2101;2108;2201;2707,3,1,1,MD;기획MD;여성복;캐주얼
R01499,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R03601,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R05952,3.0,,,0,0,2507;2707,3,2,1,
R00676,20.0,,,0,0,2507;2707;2810,4,8,2,
R02721,3.0,,,0,0,2101;2201;2204;2205;2302;2303;2507;2707,3,2,1,
R00456,3.0,,,0,0,2507;2204;2201,3,2,1,
