resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,text_keyword,job_code_seq1,job_code_seq2,job_code_seq3,career_month,career_job_code
U00606,2020-03-04,2020-05-22,4,2008,3500.0,3500.0,스타일디자이너;우븐디자이너,재료·화학·섬유·의복,,,67,
U00509,2019-08-25,2020-09-02,2,0,0.0,3700.0,상품기획;MD;기획;머천다이저;머천다이징,재료·화학·섬유·의복,,,84,섬유;봉제;가방;의류
U02012,2017-11-20,2020-01-26,5,1979,3500.0,3100.0,니트디자인,재료·화학·섬유·의복,,,121,학교;학원;직원훈련(교육서비스)
U04599,2020-05-13,2020-05-28,4,2012,0.0,2500.0,MD;기획MD,재료·화학·섬유·의복,,,24,섬유;봉제;가방;의류
U07573,2019-07-23,2020-03-08,4,2010,1900.0,0.0,디자이너;남성복;스포츠웨어;편집디자인;코디네이터;일러스트레이터;VMD;MD,재료·화학·섬유·의복,,,0,
U03218,2020-04-20,2020-04-20,3,2001,2500.0,2300.0,영업관리;백화점관리;대리점관리;매장영업관리,재료·화학·섬유·의복,,,60,섬유;봉제;가방;의류
U04073,2017-03-20,2020-10-14,3,0,3900.0,3900.0,상품기획,재료·화학·섬유·의복,,,77,섬유;봉제;가방;의류
U07898,2020-02-27,2020-02-27,4,2012,2700.0,2500.0,여성복디자이너;디자이너;캐주얼디자이너;디자인;패션디자인;의상디자인,재료·화학·섬유·의복,,,42,섬유;봉제;가방;의류
U07935,2020-02-23,2020-04-13,4,2017,0.0,0.0,여성복;남성복;패션디자인;해외인턴;해외경력,재료·화학·섬유·의복,,,12,섬유;봉제;가방;의류
U07524,2020-05-08,2020-09-23,3,2002,5250.0,4900.0,디자인,재료·화학·섬유·의복,,,114,디자인;CAD;설계
U01819,2015-09-22,2020-06-01,3,1987,0.0,0.0,디자이너,재료·화학·섬유·의복,,,312,섬유;봉제;가방;의류
U00908,2015-11-22,2020-07-31,4,2015,0.0,0.0,남성복디자이너;여성복디자이너,재료·화학·섬유·의복,,,36,디자인;CAD;설계
U02069,2020-03-18,2020-06-25,4,2010,2700.0,2300.0,여성복디자이너;아동복디자이너,재료·화학·섬유·의복,,,33,디자인;CAD;설계
U03528,2020-08-16,2020-09-01,4,2012,0.0,1500.0,MD;해외영업;해외마케팅;마케팅;홍보;PR;상품기획,재료·화학·섬유·의복,,,0,영화;방송;공연;문화;스포츠
U03716,2020-05-10,2020-05-16,4,2008,2100.0,2700.0,패션디자인;시각디자인;일러스트레이터,재료·화학·섬유·의복,,,0,
U00433,2020-01-05,2020-01-06,4,2006,0.0,0.0,의상디자인;그래픽;피팅,재료·화학·섬유·의복,,,16,섬유;봉제;가방;의류
U03520,2020-04-22,2020-04-22,4,2014,0.0,0.0,의류디자이너,재료·화학·섬유·의복,,,0,디자인;CAD;설계
U06140,2019-02-28,2020-06-22,4,2015,0.0,0.0,MD,재료·화학·섬유·의복,,,36,섬유;봉제;가방;의류
U04598,2018-11-22,2020-06-25,4,2009,0.0,0.0,거래처관리;영업관리;영업기획;영업기획,재료·화학·섬유·의복,,,0,섬유;봉제;가방;의류
U01758,2019-06-27,2020-11-05,4,2009,0.0,0.0,영업,재료·화학·섬유·의복,,,24,섬유;봉제;가방;의류
U04920,2016-08-15,2020-05-18,4,2002,3500.0,3500.0,의류;캐주얼,재료·화학·섬유·의복,,,154,섬유;봉제;가방;의류
U08352,2014-12-31,2020-07-28,4,2006,0.0,0.0,매장영업관리,재료·화학·섬유·의복,,,62,섬유;봉제;가방;의류
U07836,2020-05-24,2020-05-24,5,2017,0.0,0.0,MD;머천다이저;영업;생산관리,재료·화학·섬유·의복,,,120,섬유;봉제;가방;의류
U06974,2020-09-07,2020-09-07,4,2002,3100.0,3500.0,식음료;식품;건강;제약;거래처관리;영업지원;대리점관리;매장관리;매출관리;영업관리;영업기획;영업기획;거래선개발;거래처관리;고객관리;국내영업;백화점영업;매장관리;식품영업;제약영업,재료·화학·섬유·의복,영업·판매·TM,,96,식음료;식품가공
U06979,2020-12-02,2020-12-03,4,0,0.0,3500.0,기획전략;기획;패션;머천다이저;상품기획;MD;홈쇼핑MD;MD;잡화;거래처관리;영업관리;영업기획;영업지원;영업기획;국내영업;유통영업;채널영업,경영·기획·회계·사무,재료·화학·섬유·의복,영업·판매·TM,50,도소매;유통;무역
U04565,2020-06-07,2020-06-21,2,0,2900.0,2900.0,매장영업관리,재료·화학·섬유·의복,,,72,섬유;봉제;가방;의류
U01444,2019-09-13,2020-09-19,4,2000,0.0,5250.0,팀장근무,재료·화학·섬유·의복,,,158,도소매;유통;무역
U08153,2019-12-23,2020-08-31,4,2007,0.0,0.0,패션마케팅;스포츠마케팅;광고기획;PPL;카피라이터;상품입출고;남성복;넥타이;신발;스포츠웨어;캐주얼;의류;아동복,경영·기획·회계·사무,재료·화학·섬유·의복,,18,기타 서비스
U05119,2017-01-13,2020-01-12,4,2009,5750.0,5250.0,,재료·화학·섬유·의복,,,105,생활용품;화장품;완구
U00198,2020-11-03,2020-11-29,4,0,2700.0,2700.0,상품기획;코디네이터;샵마스터,재료·화학·섬유·의복,,,6,섬유;봉제;가방;의류
U02639,2020-08-04,2020-08-04,4,2016,4100.0,3900.0,패션디자인;캐주얼디자인;상품기획;스타일링;머천다이저,재료·화학·섬유·의복,,,80,섬유;봉제;가방;의류
U01626,2016-11-14,2020-02-21,4,2000,6750.0,5750.0,매장영업관리;스포츠웨어;신발;의류;캐주얼;거래처관리;대리점관리;매장관리;매출관리;영업기획;영업지원;영업기획;거래선개발;거래처관리;국내영업;매장관리;백화점영업;유통영업;판매영업;매장관리,재료·화학·섬유·의복,영업·판매·TM,,204,도소매;유통;무역
U08176,2015-05-12,2020-12-11,4,2014,0.0,0.0,패션디자이너;골프웨어디자이너,재료·화학·섬유·의복,,,49,
U06206,2010-07-12,2020-06-12,4,2010,3900.0,3900.0,영업관리,재료·화학·섬유·의복,,,112,섬유;봉제;가방;의류
U00250,2018-02-12,2020-08-15,4,2006,0.0,0.0,VMD디스플레이의류,재료·화학·섬유·의복,,,20,섬유;봉제;가방;의류
U03429,2013-08-17,2020-04-01,4,1994,0.0,0.0,상품개발;할인점MD;MD;거래처관리;영업관리;대리점관리;거래선개발;백화점영업;할인점,경영·기획·회계·사무,영업·판매·TM,,196,건설;토목;건축
U04013,2019-11-15,2020-07-28,3,0,0.0,0.0,상품기획;머천다이저;수출입관리,재료·화학·섬유·의복,,,0,
U03152,2018-05-20,2020-11-11,4,1985,0.0,5750.0,의류,재료·화학·섬유·의복,,,180,금융;보험;증권
U00024,2019-11-15,2020-07-01,4,2011,0.0,0.0,영업기획;영업관리;영업지원;전략기획;패션마케팅;캐주얼;의류;섬유;국내영업,재료·화학·섬유·의복,,,0,
U03134,2009-03-28,2020-03-16,4,1999,0.0,5750.0,스포츠웨어;아웃도어;의류;패션,재료·화학·섬유·의복,,,164,섬유;봉제;가방;의류
U05108,2020-01-28,2020-03-16,4,2003,4700.0,4900.0,백화점대리점영업및유통관리,재료·화학·섬유·의복,,,125,도소매;유통;무역
U04152,2020-09-29,2020-10-17,4,0,0.0,0.0,패션MD;기획MD;영업MD;여성복;샵매니저;샵마스터,재료·화학·섬유·의복,,,0,
U04665,2019-08-24,2020-06-26,4,2016,4500.0,4500.0,생산MD,재료·화학·섬유·의복,,,71,섬유;봉제;가방;의류
U08422,2020-09-16,2020-11-09,5,2006,0.0,0.0,디자이너;VMD;기획MD;MD;상품기획;디스플레이;소재디자이너,재료·화학·섬유·의복,,,0,
U06056,2017-07-04,2020-11-01,4,1996,5250.0,5250.0,영업전반백화점,재료·화학·섬유·의복,,,184,섬유;봉제;가방;의류
U00761,2020-08-29,2020-08-30,4,2013,0.0,0.0,디자이너,재료·화학·섬유·의복,,,0,기타 서비스
U08275,2020-11-17,2020-11-27,4,2012,3100.0,2500.0,TD;테크니컬디자이너;해외영업;벤더;아웃도어,재료·화학·섬유·의복,,,26,섬유;봉제;가방;의류
U07564,2017-01-08,2020-04-14,4,2000,0.0,0.0,홍보;마케팅,재료·화학·섬유·의복,,,120,섬유;봉제;가방;의류
U05671,2014-08-23,2020-02-15,5,2013,0.0,5750.0,생산MD;생산관리;구매;기획MD;마케팅;상품기획,재료·화학·섬유·의복,,,129,섬유;봉제;가방;의류
U07949,2012-06-27,2020-08-27,4,2005,0.0,4500.0,상품기획MD,재료·화학·섬유·의복,,,170,섬유;봉제;가방;의류
U00763,2014-10-19,2020-04-22,4,2009,0.0,0.0,기획;바이어;패션MD;MD;상품기획;시장조사;머천다이저;물류기획;패션디자인;여성복디자인;니트디자인;의복;의류;우븐;스포츠웨어디자인;캐주얼;스포츠웨어;넥타이;잡화디자인,재료·화학·섬유·의복,디자인,,24,도소매;유통;무역
U01862,2017-11-18,2020-04-28,4,2010,3300.0,2700.0,마케팅기획;홍보;PR;AE;CD;프로모션,재료·화학·섬유·의복,,,41,섬유;봉제;가방;의류
U04275,2020-10-04,2020-10-13,4,2010,2100.0,3100.0,상품기획;머천다이저;매장영업관리,재료·화학·섬유·의복,,,24,섬유;봉제;가방;의류
U02837,2017-05-26,2020-08-28,4,2004,2900.0,2900.0,의류디자이너,디자인,,,66,섬유;봉제;가방;의류
U02564,2020-01-15,2020-07-07,4,2000,3700.0,3900.0,영업관리,재료·화학·섬유·의복,,,125,섬유;봉제;가방;의류
U08332,2018-07-06,2020-04-17,4,1998,0.0,0.0,캐주얼디자이너;기획;생산,재료·화학·섬유·의복,,,198,섬유;봉제;가방;의류
U02654,2018-11-10,2020-08-16,4,2014,2900.0,2500.0,MR;MD;상품기획;생산관리;머천다이저,재료·화학·섬유·의복,,,12,섬유;봉제;가방;의류
U01567,2014-03-25,2020-03-27,4,2011,0.0,0.0,의상디자인;머천다이저;패션스타일러스트;샵마스터,재료·화학·섬유·의복,,,60,섬유;봉제;가방;의류
U07775,2018-03-25,2020-01-02,3,2010,2100.0,2100.0,의상디자인;캐주얼디자인;스트릿브랜드;스트릿,재료·화학·섬유·의복,,,30,섬유;봉제;가방;의류
U04784,2020-01-18,2020-05-30,4,2009,4300.0,3900.0,매장영업관리;백화점바이어,재료·화학·섬유·의복,,,87,도소매;유통;무역
U04788,2020-08-18,2020-08-18,4,2005,2300.0,2300.0,CRMMD;CS,재료·화학·섬유·의복,,,0,섬유;봉제;가방;의류
U05878,2020-07-21,2020-08-11,4,2009,0.0,0.0,영업;상품기획,재료·화학·섬유·의복,,,0,섬유;봉제;가방;의류
U00604,2020-10-19,2020-10-19,4,2014,2700.0,2300.0,상품기획;머천다이저,재료·화학·섬유·의복,,,39,섬유;봉제;가방;의류
U06851,2013-04-17,2020-09-22,4,2004,0.0,3900.0,매장영업관리,재료·화학·섬유·의복,,,161,식음료;식품가공
U06856,2019-03-30,2020-10-06,3,2006,0.0,1500.0,의상디자인;상품기획;디자이너,재료·화학·섬유·의복,,,17,섬유;봉제;가방;의류
U02976,2020-10-23,2020-11-08,4,2007,2500.0,2100.0,영업관리;영업MD,재료·화학·섬유·의복,,,60,섬유;봉제;가방;의류
U01518,2020-05-15,2020-05-15,4,2012,0.0,0.0,신입디자이너,재료·화학·섬유·의복,,,6,디자인;CAD;설계
U03552,2018-10-29,2020-02-18,4,2007,1900.0,1500.0,영업기획;MD,재료·화학·섬유·의복,,,18,섬유;봉제;가방;의류
U07464,2008-11-16,2020-01-15,4,2004,0.0,7500.0,상품기획;DEMANDPLANNING;SAPMDPI;중국어,재료·화학·섬유·의복,,,136,도소매;유통;무역
U01942,2020-04-10,2020-04-24,4,2020,0.0,0.0,디자이너;여성복,재료·화학·섬유·의복,,,26,도소매;유통;무역
U04347,2020-11-21,2020-11-21,4,1999,0.0,6250.0,매장영업관리,재료·화학·섬유·의복,,,188,생활용품;화장품;완구
U02267,2013-07-04,2020-04-04,4,1998,0.0,3100.0,디자이너,디자인,,,0,섬유;봉제;가방;의류
U05616,2020-03-18,2020-03-18,4,2016,0.0,0.0,해외영업;RD;트랜드분석;오더관리,재료·화학·섬유·의복,,,0,섬유;봉제;가방;의류
U06818,2018-05-03,2020-11-17,4,1987,0.0,4100.0,생상기획;생산관리,재료·화학·섬유·의복,,,204,섬유;봉제;가방;의류
U02862,2017-01-06,2020-07-21,4,2005,2700.0,1900.0,디스플레이;VMD,재료·화학·섬유·의복,,,48,섬유;봉제;가방;의류
U01174,2017-06-09,2020-11-12,4,1999,5250.0,5250.0,영업MD,재료·화학·섬유·의복,,,198,섬유;봉제;가방;의류
U01779,2018-12-23,2020-10-14,4,2008,0.0,0.0,가방디자인;패션디자인;악세사리디자인;상품기획,재료·화학·섬유·의복,,,6,전기;가스;수도;에너지
U02809,2014-09-13,2020-08-27,4,2011,4500.0,4700.0,MD;패션MD;머천다이저,재료·화학·섬유·의복,,,142,섬유;봉제;가방;의류
U07569,2012-04-10,2020-07-07,4,1989,0.0,4100.0,백화점;대리점영업관리;남성복;아동복;의류;캐주얼;스포츠웨어;거래처관리;대리점관리;매장관리;매출관리;영업지원;영업기획;스포츠웨어디자인;남성복디자인;아동복디자인;여성복디자인;패션디자인,재료·화학·섬유·의복,디자인,,270,섬유;봉제;가방;의류
U03937,2019-09-14,2020-04-25,4,2013,0.0,1700.0,디자이너;상품기획;남성복;여성복,재료·화학·섬유·의복,,,30,섬유;봉제;가방;의류
U03070,2017-08-24,2020-04-21,4,2008,0.0,2900.0,경영지원;행정;마케팅기획;남성복;의복;의류;캐주얼;거래처관리;매장관리;영업관리;영업기획;영업기획;거래처관리;백화점영업;국내영업;유통영업;면세점영업;매장관리,경영·기획·회계·사무,재료·화학·섬유·의복,영업·판매·TM,38,섬유;봉제;가방;의류
U08067,2018-12-01,2020-04-18,4,0,1500.0,3500.0,디자이너;여성복;남성복,재료·화학·섬유·의복,,,9,섬유;봉제;가방;의류
U07122,2017-09-30,2020-04-03,3,1997,3100.0,3100.0,상품관리디자이너,디자인,,,99,디자인;CAD;설계
U03537,2020-03-17,2020-04-10,4,2009,0.0,5750.0,,재료·화학·섬유·의복,,,112,IT 컨설팅;조사분석;통계
U00014,2020-02-09,2020-12-12,4,2014,2300.0,2900.0,여성복디자이너,재료·화학·섬유·의복,,,12,섬유;봉제;가방;의류
U07250,2020-03-19,2020-10-07,4,2009,0.0,0.0,,재료·화학·섬유·의복,,,41,섬유;봉제;가방;의류
U00751,2013-11-06,2020-05-20,4,1997,0.0,0.0,데님디자인;우븐디자인;패션디자인;여성복디자인;남성복디자인,디자인,,,179,섬유;봉제;가방;의류
U06463,2017-03-13,2020-10-05,4,2011,0.0,3500.0,영업;매장관리;스포츠;아웃도어;남성;캐주얼,재료·화학·섬유·의복,,,53,섬유;봉제;가방;의류
U01351,2017-07-13,2020-05-28,4,2010,5750.0,5750.0,여성복디자이너;스타일디자이너,재료·화학·섬유·의복,,,108,섬유;봉제;가방;의류
U00065,2019-01-26,2020-09-05,5,2006,0.0,2700.0,디스플레이;VMD,재료·화학·섬유·의복,,,33,쇼핑몰;전자상거래;경매
U00968,2019-12-06,2020-03-11,4,2010,0.0,0.0,상품기획;MD,재료·화학·섬유·의복,,,17,디자인;CAD;설계
U04992,2014-08-09,2020-07-18,4,2003,0.0,3100.0,의류디자인,재료·화학·섬유·의복,,,108,섬유;봉제;가방;의류
U00844,2009-12-10,2020-11-23,4,2005,0.0,3900.0,패션디자인,재료·화학·섬유·의복,,,112,섬유;봉제;가방;의류
U03282,2014-07-14,2020-06-07,4,0,2700.0,2500.0,학사;남자;특기;취미;여행;지혜,경영·기획·회계·사무,,,24,섬유;봉제;가방;의류
U05037,2011-05-19,2020-10-28,5,1995,0.0,5750.0,영업;전략;기획MD,재료·화학·섬유·의복,,,216,섬유;봉제;가방;의류
U04283,2017-06-05,2020-01-05,4,2002,3100.0,3700.0,구매;물류;상품입출고;재고관리;SCM;수입;물류;영업기획;거래처관리;고객관리;병의원영업;의료기영업;창고관리;통관,경영·기획·회계·사무,영업·판매·TM,전문·교육·자격,111,의료;제약;건강
U04506,2020-01-21,2020-01-25,5,2013,0.0,0.0,여성복디자이너;캐주얼디자인;패션디자인;여성복디자인;패턴,재료·화학·섬유·의복,,,23,섬유;봉제;가방;의류
U01826,2013-09-01,2020-08-09,4,2003,0.0,2500.0,디자이너;상품기획,재료·화학·섬유·의복,,,89,섬유;봉제;가방;의류
U04095,2017-11-07,2020-09-01,4,2007,2900.0,2900.0,4대보험,영업·판매·TM,,,36,병원;제약;사회복지
U00664,2020-03-03,2020-10-07,4,2007,0.0,0.0,소재디자인;섬유디자인;여성복디자인;우븐디자인;패션디자인;니트디자인,디자인,,,0,섬유;봉제;가방;의류
U07476,2018-07-10,2020-11-12,4,2009,0.0,2700.0,머천다이저;영업관리;MD,재료·화학·섬유·의복,,,55,공공행정;경찰;기관;협회
U01197,2019-10-13,2020-03-06,4,2016,2900.0,3700.0,패션관련업종;매장영업관리;영업;유통;상품기획;마케팅;디자인,재료·화학·섬유·의복,,,0,섬유;봉제;가방;의류
U07236,2017-02-17,2020-11-20,4,2005,0.0,0.0,우먼즈디자이너;맨즈디자이너;케쥬얼디자이너;데님디자이너;스포츠웨어디자이너,재료·화학·섬유·의복,,,168,섬유;봉제;가방;의류
U07410,2019-01-17,2020-03-18,4,2013,2700.0,2500.0,거래처관리;영업관리;영업지원;매장관리;백화점영업;유통영업;화장품영업,재료·화학·섬유·의복,영업·판매·TM,,40,섬유;봉제;가방;의류
U01951,2020-01-24,2020-03-30,5,2007,4100.0,4100.0,디자이너;여성복디자이너;해외바잉;RD,재료·화학·섬유·의복,,,58,섬유;봉제;가방;의류
U05555,2019-02-07,2020-06-19,4,2007,0.0,3700.0,,재료·화학·섬유·의복,,,70,도소매;유통;무역
U06018,2020-10-13,2020-10-27,4,0,0.0,0.0,디자이너,재료·화학·섬유·의복,,,0,
U01915,2018-02-09,2020-09-23,3,2011,0.0,2300.0,디자이너,재료·화학·섬유·의복,,,24,섬유;봉제;가방;의류
U00886,2007-10-15,2020-04-15,4,2007,0.0,0.0,소재디자이너,재료·화학·섬유·의복,,,144,섬유;봉제;가방;의류
U05521,2020-06-19,2020-10-05,4,2016,2100.0,0.0,디자이너;여성복디자이너;캐주얼디자이너,재료·화학·섬유·의복,,,6,디자인;CAD;설계
U06947,2020-11-30,2020-12-30,4,0,0.0,0.0,기획MD;영업MD,재료·화학·섬유·의복,,,0,
U03977,2018-01-09,2020-08-25,4,2005,5750.0,0.0,여성복디자이너,재료·화학·섬유·의복,,,181,섬유;봉제;가방;의류
