resume_seq,certificate_contents
U06421,손해보험사
U01278,2종운전면허증
U01008,자동차운전면허 2종 보통
U03248,운전면허2종보통
U07483,메이크업3급
U07479,ITQ파워포인트
U06041,MOS 파워포인트 2003
U04398,패션머천다이징산업기사
U06794,자동차 운전면허 1종보통
U06953,ITQ파워포인트
U00961,GTQ 포토샵 1급
U05800,운전면허2종보통
U07929,자동차 운전면허 (2종 보통)
U06085,전산회계운용사 3급
U01838,운전면허2종보통
U05872,컴퓨터활용능력2급
U01985,MOS POWERPOINT 2007
U03946,교원자격증 실기교사(한재)
U01854,컬러리스트기사
U03075,정보기기 운영기능사
U05833,운전면허2종보통
U00601,자동차 운전면허 1종보통
U03721,2종운전면허증
U04605,자동차 운전면허 (2종 보통)
U03710,미용기능사
U00589,자동차 운전면허증
U00633,중등교사
U06824,운전면허 1종 보통
U02006,1종보통 운전면허증
U02178,운전면허2종보통
U01463,운전면허2종보통
U05645,자동차 운전면허 (2종 보통)
U01587,컴퓨터그래픽스운용기능사
U06370,자동차 운전면허 1종보통
U04397,워드프로세서 2급
U02067,컴퓨터그래픽스운용기능사
U04700,실용영어
U05576,자동차운전면허 2종 자동
U04433,국가 공인 정보기술IQ
U04991,자동차 정비 기능사
U00727,컬러리스트 산업기사
U03429,자동차 운전면허 (2종 보통)
U08444,칼라리스트
U07630,비주얼머천다이저(VMD)
U00715,유통관리사 2급
U04686,샵마스터 3급
U04983,GTQ 포토샵2급
U05672,컬러리스트
U00676,한자급수자격검정 2급
U01014,문서실무사1급
U04876,워드프로세서 2급
U02863,GTQ 일러스트 1급
U07429,자동차운전면허 1종 보통
U02365,정보기기 운영기능사
U07446,정보기술자격 (ITQ) 파워포인트
U08434,정보통신운용기능사2급
U08187,자동차운전면허 1종 보통
U01649,운전면허증 1종보통
U05530,샵마스터 3급
U03820,ITQ한글엑셀
U07011,컴퓨터활용능력 2급
U03313,자동차운전면허1종 보통
U03737,자동차 운전면허 (2종 보통)
U07501,운전면허 1종 보통
U07101,MOS POWER POINT EXPERT
U01553,MOS(MICROSOFT OFFICE SPECIALIST) MASTER
U06474,자동차운전면허
U00498,운전면허 1종 보통
U05093,워드프로세서 2급
U05295,1종보통 운전면허증
U08321,자동차운전면허보통1종
U08149,UNIVERSITY OF CAMBRIDGE ESOL FCE
U03684,워드
U03133,자동차운전면허 1종 보통
U05712,2종보통운전면허
U07533,자동차 운전면허 1종보통
U01767,자동차 운전면허 1종보통
U03802,2종운전면허증
U04006,자동차 운전면허 1종보통
U01396,컬러리스트 산업기사
U02226,2종 보통 자동차운전면허증
U01548,GTQ 포토샵 1급
U07939,패션디자인산업기사
U00203,정보처리기능사
U02221,2종 보통 운전면허증
U00463,운전면허2종보통
U00119,VISUAL MERCHANDISING
U06938,컬러리스트 산업기사
U06040,패션디자인산업기사
U01172,패션디자인기능사
U02714,샵마스터3급
U06604,패션 머천다이징산업 기사
U05358,생활체육지도자
U07801,컬러리스트산업기사
U03938,워드프로세서 1급
U07373,자동차운전면허 2종 보통
U03935,자동차 운전면허 (2종 보통)
U05013,자동차운전면허
U04486,TIQ (TEST OF INTERNET & COMPUTER QUALIFICATION)
U07051,자동차운전면허증 2종보통
U03950,컴활2급
U06898,미용사(네일)
U00150,무역영어3급
U03238,자동차 운전면허 (2종 보통)
U03189,자동차 운전면허 1종보통
U07213,1종보통 운전면허증
U02973,컴퓨터 활용능력2급
U08010,MOS(MICROSOFT OFFICE SPECIALIST) MASTER 2007 (WORDPOWER POINTEXCESSEXCEL
U04649,컬러리스트 기사
U05111,VMD 자격증
U06099,컴퓨터활용능력 2급
U07800,컴퓨터그래픽스운용기능사
U06016,전자상거래관리사2급
U04437,자동차 운전 면허 2
U02785,1종보통 운전면허증
U08089,심폐소생술
U03922,전산회계 1급 (국가공인)
U02506,샵마스터 3급
U03824,광고도장기능사2급
U01215,자동차운전면허증 2종보통
U03273,자동차 운전면허 1종보통
U04060,2종보통운전면허
U03580,2종보통운전면허
U08255,MCAS MASTER 2007
U01256,워드 프로세서 3급
U07519,엑셀
U06512,자동차운전면허 2종 소형
U03788,자동차운전면허1종 보통
U00446,자동차 운전 면허 1종
U03905,워드
U01401,국가기술자격증
U00846,자동차 운전면허 (2종 보통)
U08057,MOS MASTER
U07874,자동차 운전면허 1종보통
U06875,자동차 2종보통 운전면허(자가차량)
U03929,컴퓨터활용능력2급
U04538,컬러리스트산업기사
U00756,1종보통 운전면허증
U07732,슈피터 2급 자격
U03846,일본 패션비지니스 능력검정 2급
U03555,사무자동화산업기사
U02913,샵마스터3급
U01805,자동차 운전면허 1종보통
U06247,워드프로세서 1급
U00427,자동차 운전면허 1종보통
U01724,2종 보통 운전면허
U00433,사무자동화산업기사
U03785,VMD 자격증
U05405,유통관리사2급
U02714,GTQ 포토샵2급
U06603,자동차 운전면허 (2종 보통)
U06537,양장기능사
U00619,운전면허2종보통
U07060,워드
U08380,GTQ 포토샵 1급
U06208,염색기능사(침염)
U04751,컬러리스트산업기사
U06071,자동차 운전면허 (2종 보통)
U00566,자동차운전면허 1종 보통
U06042,운전면허2종보통
U04067,컴퓨터그래픽스운용기능사
U06847,관광종사원자격증
U06081,MOS EXCEL EXPERT
U06859,컴퓨터활용능력 2급
U00010,자동차운전면허증 1종 보통
U03842,자동차 운전면허 (2종 보통)
U07400,한자검정능력 3급
U05817,패션직무능력향상시험
U06149,컬러리스트 산업기사
U03940,SMAT(서비스경영자격)
U03799,MOS MASTER
U06255,중등교사 정교사2급
U06720,인터넷정보검색사
U04843,컴퓨터 활용능력2급
