resume_seq,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major,univ_sub_major,univ_major_type,univ_score
U01419,21,일반고,사립,남자학교,3,5,5,0,3,,,9,60.0
U03375,21,일반고,사립,여자학교,3,5,5,0,3,,,4,80.0
U06523,21,일반고,사립,남여공학,3,5,5,0,3,,,8,70.0
U06619,21,일반고,사립,남여공학,5,5,5,0,5,,,8,80.0
U05015,16,특성화고,공립,남여공학,3,5,5,0,3,,,9,80.0
U05055,21,일반고,사립,여자학교,3,5,5,0,3,,,0,70.0
U04750,21,일반고,사립,남여공학,5,5,5,0,5,예술대학회화과,,9,90.0
U00727,21,일반고,공립,남여공학,5,0,0,0,0,,,9,90.0
U01362,2,특성화고,공립,남여공학,7,5,5,0,7,,,9,80.0
U03419,21,일반고,사립,여자학교,9,5,5,0,7,,,19,80.0
U00193,21,일반고,공립,여자학교,12,5,5,0,7,,,9,80.0
U07377,21,일반고,공립,남여공학,5,5,10,0,13,무역과,,3,80.0
U07123,0,기타,기타,기타,0,5,5,0,8,경영과,,3,80.0
U04086,21,일반고,공립,여자학교,11,0,0,0,0,,,9,80.0
U00684,21,자율고,사립,남자학교,3,0,0,0,0,환경과학,,0,60.0
U02576,21,일반고,공립,남여공학,5,5,5,0,5,,,9,70.0
U01739,21,일반고,공립,여자학교,3,5,5,0,3,,,5,70.0
U03172,21,일반고,사립,여자학교,9,0,0,0,0,,,9,80.0
U02693,21,일반고,공립,여자학교,10,5,5,0,10,,,9,70.0
U01207,0,기타,기타,기타,0,5,5,0,3,,,0,70.0
U03882,21,일반고,사립,여자학교,9,5,5,0,7,,,9,80.0
U06597,21,일반고,사립,여자학교,7,5,5,0,7,,,9,80.0
U07498,0,기타,기타,기타,0,5,5,0,3,,,0,60.0
U07278,21,일반고,사립,남자학교,6,3,5,0,6,섬유산업디자인과,,9,80.0
U03483,21,자율고,공립,남자학교,11,5,5,0,11,,,5,70.0
U04677,0,기타,기타,기타,0,3,5,0,9,생명식품공학,불어불문학,23,60.0
U02469,21,일반고,공립,남자학교,4,5,5,0,3,물리학전공,,4,70.0
U07514,21,일반고,사립,남여공학,14,3,5,0,14,,,19,80.0
U00080,21,일반고,사립,여자학교,5,5,5,0,3,,,3,80.0
U03082,16,특성화고,사립,여자학교,3,5,5,0,3,,,9,80.0
U03367,21,일반고,사립,여자학교,11,5,5,0,7,,,9,90.0
U05397,21,일반고,공립,남여공학,17,5,5,0,10,,,9,80.0
U03126,21,일반고,사립,남여공학,5,5,10,0,5,세무회계정보,,5,80.0
U04214,21,자율고,공립,여자학교,7,0,0,0,0,,,9,80.0
U01852,0,기타,기타,기타,0,5,5,0,3,,미디어학과,3,80.0
U01993,21,일반고,사립,남자학교,11,0,0,0,0,,,9,70.0
U06228,21,일반고,사립,남여공학,3,5,5,0,17,,,9,90.0
U03009,21,일반고,공립,여자학교,17,5,5,0,17,VMD학과,,9,90.0
U06257,21,일반고,공립,남자학교,3,0,0,0,0,FashionMerchandisingManagement,,3,90.0
U05356,0,기타,기타,기타,3,5,5,0,5,아동학과,,5,80.0
U05575,21,일반고,공립,남여공학,5,5,5,0,3,,,3,70.0
U05428,21,일반고,공립,남여공학,3,5,5,0,3,,,9,70.0
U01474,21,일반고,공립,남자학교,5,5,5,0,13,,,3,70.0
U03039,21,일반고,사립,여자학교,3,5,5,0,5,,,20,80.0
U02212,21,자율고,사립,남여공학,7,5,5,0,5,,,19,70.0
U07242,0,기타,기타,기타,0,5,5,0,14,실내디자인,,9,80.0
U05113,21,일반고,사립,여자학교,0,5,5,0,3,,,9,20.0
U04450,21,일반고,공립,여자학교,6,5,5,0,11,,,0,80.0
U05972,21,일반고,공립,남자학교,13,5,5,0,13,,,19,60.0
