resume_seq,language,exam_name,score
U01774,2,4,742.42
U04892,2,4,888.89
U01859,2,4,500.0
U02475,2,4,500.0
U03776,4,5,595.96
U04568,2,4,818.18
U02350,4,5,686.87
U07193,2,4,400.0
U02052,2,4,702.02
U05736,4,6,33.33
U00597,4,1,919.19
U05872,2,4,979.8
U00378,2,4,934.34
U06371,2,4,833.33
U02439,2,4,914.14
U02854,2,11,924.24
U01663,2,4,661.62
U05280,3,3,858.59
U01488,2,4,944.44
U01018,2,4,873.74
U04398,3,3,924.24
U01692,3,3,656.57
U01458,2,11,833.33
U08072,2,9,777.78
U04110,4,6,883.84
U03482,2,4,823.23
U04284,2,9,858.59
U07795,2,4,863.64
U01019,2,4,898.99
U07202,2,2,500.0
U07538,4,5,1.01
U02366,2,9,848.48
U02091,2,4,712.12
U07697,2,4,5.56
U00582,2,4,892.93
U02450,2,4,600.0
U04319,2,4,5.56
U04808,2,4,500.0
U04342,2,2,954.55
U06594,2,4,20.0
U02647,2,4,797.98
U03520,2,4,400.0
U04166,2,4,500.0
U03361,2,11,833.33
U02791,2,11,883.84
U00004,2,11,661.62
U08225,2,9,11.11
U05705,2,4,737.37
U04697,2,11,722.22
U03838,2,4,767.68
U01280,2,4,792.93
U04969,2,21,5.56
U00434,2,4,863.64
U04031,2,4,828.28
U05262,3,3,656.57
U08061,2,4,777.78
U03813,2,4,979.8
U08424,2,4,803.03
U06145,2,4,742.42
U02160,2,4,671.72
U07247,2,11,853.54
U04071,2,4,600.0
U05705,2,4,400.0
U07101,2,4,500.0
U04875,2,11,16.67
U00079,2,4,5.56
U00194,2,4,883.84
U04193,2,5,868.69
U03497,2,11,843.43
U07949,3,3,20.0
U01554,2,11,808.08
U01363,2,4,823.23
U06257,2,4,500.0
U02884,2,4,656.57
U00540,2,4,707.07
U03745,2,4,500.0
U02161,4,10,732.32
U01301,2,9,898.99
U03386,3,3,858.59
U02843,2,4,670.71
U05332,2,1,818.18
U04762,4,5,600.0
U06257,2,4,5.56
U05465,3,3,11.11
U03736,2,9,150.0
U02305,2,4,620.0
U07700,4,5,732.32
U07838,2,4,747.47
U05735,2,2,30.0
U06996,2,4,742.42
U02678,2,4,934.34
U07165,2,4,787.88
U06436,2,4,631.31
U00215,2,2,893.94
U04864,2,4,843.43
U02395,2,4,400.0
U01573,2,11,641.41
U03028,2,4,737.37
U00485,2,11,500.0
U01546,3,3,873.74
U06890,4,5,772.73
U06463,2,11,400.0
U04262,2,4,762.63
U01002,2,11,833.33
U01366,2,4,500.0
U03027,2,4,893.94
U00097,2,4,500.0
U07782,2,4,914.14
U02394,2,4,500.0
U07399,2,11,772.73
U04139,2,11,873.74
U00774,2,4,1.01
U06592,2,4,868.69
U07575,2,4,23.33
U05312,2,4,893.94
U01163,2,4,600.0
U07464,3,3,813.13
U04671,2,4,16.67
U02917,2,4,2.02
U02277,2,4,909.09
U03660,2,4,600.0
U06666,2,4,757.58
U06977,2,4,23.33
U04697,2,4,505.05
U01040,2,4,808.08
U07981,2,4,656.57
U06247,2,4,494.95
U06250,2,4,474.75
U05022,2,4,904.04
U07127,2,4,823.23
U01575,2,4,919.19
U05483,2,4,570.71
U08001,2,4,772.73
U05325,4,5,863.64
U03553,2,2,439.39
U03177,2,4,600.0
U01319,2,4,600.0
U03659,2,4,919.19
U08125,2,11,5.56
U08078,3,3,742.42
U04463,2,4,737.37
U04039,2,4,702.02
U04724,2,4,606.06
U06780,9,24,738.38
U07342,4,5,656.57
U03660,2,4,722.22
U01084,2,11,23.33
U02766,2,2,500.0
U06925,2,11,400.0
U08134,2,4,853.54
U00882,2,9,676.77
U02372,2,2,893.94
U06810,3,3,5.56
U05081,2,4,762.63
U03236,2,11,727.27
U02443,2,4,11.11
U03679,2,11,5.56
U04961,2,4,883.84
U05195,2,4,702.02
U04780,2,4,500.0
U00654,2,9,762.63
U03278,3,3,631.31
U06263,2,4,26.67
U06030,2,11,979.8
U02559,2,4,40.0
U08111,2,4,873.74
U02060,2,4,919.19
U04160,2,4,914.14
U07722,2,4,757.58
U02476,2,4,727.27
U06147,2,4,717.17
U04218,2,4,500.0
U05456,2,4,750.0
U03541,4,1,813.13
U01379,2,4,616.16
U02333,2,4,838.38
U02056,2,9,868.69
U07756,2,4,944.44
U02191,2,4,30.0
U06325,2,11,11.11
U02619,2,4,787.88
U03570,2,4,20.0
U03233,2,4,737.37
U04120,2,2,777.78
U05021,2,11,727.27
U02102,2,4,429.29
U01355,2,4,939.39
U07009,2,2,636.36
U07656,2,4,727.27
U03406,3,3,984.85
U05104,2,4,722.22
U03331,2,4,873.74
U02044,2,11,828.28
U00198,2,4,30.0
U08122,2,11,767.68
U07976,4,5,611.11
U03140,2,4,979.8
U02493,2,4,929.29
U06247,2,4,13.33
U05054,2,4,30.0
U03353,2,4,150.0
U08219,2,4,681.82
U05414,4,5,838.38
U02477,2,4,500.0
U00369,2,11,883.84
U00039,2,4,848.48
U03105,3,1,727.27
U07720,3,3,13.33
U00399,2,4,858.59
U04084,2,4,939.39
U04646,2,11,595.96
U03814,2,4,939.39
U08472,2,4,611.11
U00987,2,4,550.51
U03574,4,5,600.0
U00544,2,4,944.44
U01221,2,4,742.42
U06929,3,9,797.98
U07962,2,4,712.12
U00639,2,4,944.44
U02071,2,4,5.56
U08415,2,4,500.0
U03647,2,4,11.11
U06196,4,5,808.08
U00658,3,3,924.24
U05152,2,11,611.11
U03765,2,4,454.55
U04575,2,4,757.58
U00931,2,4,974.75
U03151,2,11,868.69
U02125,2,4,580.81
U07307,2,4,828.28
U01009,2,9,500.0
U05503,3,3,150.0
U04456,2,4,813.13
U00720,2,4,772.73
U02424,2,4,621.21
U02691,2,4,712.12
U02706,2,11,858.59
U07347,2,4,752.53
U05688,2,4,914.14
U08163,3,1,858.59
U03335,2,11,717.17
U07612,2,4,500.0
U04146,2,8,590.91
U06371,2,4,878.79
U07756,2,4,868.69
U04015,2,4,823.23
U00578,2,4,893.94
U02591,4,5,600.0
U00442,2,4,757.58
U06943,4,6,656.57
U01735,2,4,750.0
U04764,2,4,500.0
U00128,2,4,813.13
U04844,2,11,727.27
U06064,2,4,840.4
U04571,2,4,681.82
U02874,2,4,742.42
U07503,2,4,843.43
U04390,3,3,813.13
U05841,2,4,984.85
U04259,3,13,661.62
U03745,2,4,772.73
U01488,2,4,641.41
U01556,2,4,924.24
U02931,3,3,767.68
U03355,2,4,676.77
U02041,3,3,969.7
U07603,2,4,772.73
U01197,2,4,732.32
U05764,2,4,5.56
U03781,2,4,656.57
U03402,2,8,620.0
U00436,2,11,954.55
U04139,2,11,5.56
U05829,2,4,838.38
U08283,2,4,904.04
U08465,2,11,11.11
U07990,2,4,606.06
U06610,2,4,550.0
U00864,2,11,797.98
U00174,4,5,813.13
U08179,2,4,666.67
U08126,2,9,0.0
U08185,2,2,600.0
U00490,2,2,732.32
U03124,2,4,949.49
U01349,2,4,20.0
U06643,2,4,5.56
U03578,2,4,762.63
U05468,2,11,898.99
U07246,4,6,808.08
U04212,2,4,631.31
U04536,2,4,787.88
U05414,2,4,694.95
U05838,2,4,696.97
U00673,4,6,712.12
U01357,2,2,969.7
U03298,2,4,611.11
U01214,2,4,696.97
U02571,2,4,848.48
U06116,2,9,742.42
U08278,2,4,300.0
U06714,2,4,11.11
U07814,2,9,500.0
U06561,2,4,818.18
U04013,2,4,500.0
U02720,2,4,5.56
U07282,3,3,0.0
U02601,2,4,959.6
U04834,2,4,400.0
U01062,2,4,823.23
U03969,3,3,560.61
U04685,2,4,23.33
U01554,2,4,11.11
U00558,2,4,833.33
U03512,2,2,625.0
